Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),environment_(biome),environment_(feature),environment_(material),Experiment,external_id,human_associated_environmental_package,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,investigation_type,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,project_name,ReleaseDate,create_date,version,Sample Name,Sample_name,Sequencing_method,SRA Study,Submitter_Id,ENA_first_public,ena_last_update,INSDC_center_alias,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),ena_first_public,ena_last_update,Scientific_Name
ERR9294445,AMPLICON,502,6568168,PRJEB38625,SAMEA6870414,3726273,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2022-03-18,2022-03-18,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836087,SAMEA6870414,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:07Z,2022-03-18T00:40:07Z,public,Illumina MiSeq,metagenome,MMPC39575354ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870414,MMPC-3103114-ST-0,Illumina,ERP122062,MMPC-3103114-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294446,AMPLICON,502,11460158,PRJEB38625,SAMEA6870416,6401275,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2022-03-18,2022-03-18,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836088,SAMEA6870416,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:07Z,2022-03-18T00:40:07Z,public,Illumina MiSeq,metagenome,MMPC50889135ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870416,MMPC-3103115-ST-0,Illumina,ERP122062,MMPC-3103115-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294447,AMPLICON,502,6805112,PRJEB38625,SAMEA6870419,3907152,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2022-03-18,2022-03-20,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836089,SAMEA6870419,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:07Z,2022-03-18T00:40:07Z,public,Illumina MiSeq,metagenome,MMPC50185623ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870419,MMPC-3103116-ST-0,Illumina,ERP122062,MMPC-3103116-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294448,AMPLICON,502,10015904,PRJEB38625,SAMEA6870421,5676848,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2022-03-18,2022-03-18,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836090,SAMEA6870421,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:07Z,2022-03-18T00:40:07Z,public,Illumina MiSeq,metagenome,MMPC85685924ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870421,MMPC-3103117-ST-0,Illumina,ERP122062,MMPC-3103117-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294449,AMPLICON,502,9408986,PRJEB38625,SAMEA6870423,5326037,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",2022-03-18,2022-03-18,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836091,SAMEA6870423,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:07Z,2022-03-18T00:40:07Z,public,Illumina MiSeq,metagenome,MMPC59183318ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870423,MMPC-3103118-ST-0,Illumina,ERP122062,MMPC-3103118-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294450,AMPLICON,502,7187134,PRJEB38625,SAMEA6870425,4039903,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2022-03-18,2022-03-19,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836092,SAMEA6870425,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:07Z,2022-03-18T00:40:07Z,public,Illumina MiSeq,metagenome,MMPC71791865ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870425,MMPC-3103119-ST-0,Illumina,ERP122062,MMPC-3103119-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294451,AMPLICON,502,6722784,PRJEB38625,SAMEA6870427,3809595,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",2022-03-18,2022-03-18,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836093,SAMEA6870427,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:07Z,2022-03-18T00:40:07Z,public,Illumina MiSeq,metagenome,MMPC21711187ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870427,MMPC-3103120-ST-0,Illumina,ERP122062,MMPC-3103120-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294452,AMPLICON,502,9127364,PRJEB38625,SAMEA6870429,4994282,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2022-03-18,2022-03-18,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836094,SAMEA6870429,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:07Z,2022-03-18T00:40:07Z,public,Illumina MiSeq,metagenome,MMPC21060483ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870429,MMPC-3103121-ST-0,Illumina,ERP122062,MMPC-3103121-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294453,AMPLICON,502,7480302,PRJEB38625,SAMEA6870431,4242186,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",2022-03-18,2022-03-20,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836095,SAMEA6870431,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:07Z,2022-03-18T00:40:07Z,public,Illumina MiSeq,metagenome,MMPC48044108ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870431,MMPC-3103122-ST-0,Illumina,ERP122062,MMPC-3103122-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294454,AMPLICON,502,6245884,PRJEB38625,SAMEA6870433,3579757,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"fastq,sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2022-03-18,2022-03-18,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836096,SAMEA6870433,human-associated,European Molecular Biology Laboratory,2022-03-18T04:13:25Z,2022-03-18T04:13:25Z,public,Illumina MiSeq,metagenome,MMPC21908080ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870433,MMPC-3103123-ST-0,Illumina,ERP122062,MMPC-3103123-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294455,AMPLICON,502,12799996,PRJEB38625,SAMEA6870435,7142965,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",2022-03-18,2022-03-18,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836097,SAMEA6870435,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:07Z,2022-03-18T00:40:07Z,public,Illumina MiSeq,metagenome,MMPC82177922ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870435,MMPC-3103124-ST-0,Illumina,ERP122062,MMPC-3103124-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294456,AMPLICON,502,25287748,PRJEB38625,SAMEA6870437,14121999,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",2022-03-18,2022-03-20,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836098,SAMEA6870437,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:07Z,2022-03-18T00:40:07Z,public,Illumina MiSeq,metagenome,MMPC54152785ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-07T21:35:00Z,1,SAMEA6870437,MMPC-3103125-ST-0,Illumina,ERP122062,MMPC-3103125-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294457,AMPLICON,502,23597012,PRJEB38625,SAMEA6870439,13137079,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",2022-03-18,2022-03-18,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836099,SAMEA6870439,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:07Z,2022-03-18T00:40:07Z,public,Illumina MiSeq,metagenome,MMPC84720270ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-07T19:32:00Z,1,SAMEA6870439,MMPC-3103126-ST-0,Illumina,ERP122062,MMPC-3103126-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294458,AMPLICON,502,6920572,PRJEB38625,SAMEA6870441,3879808,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2022-03-18,2022-03-18,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836100,SAMEA6870441,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:07Z,2022-03-18T00:40:07Z,public,Illumina MiSeq,metagenome,MMPC61075350ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870441,MMPC-3103127-ST-0,Illumina,ERP122062,MMPC-3103127-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294459,AMPLICON,502,5605332,PRJEB38625,SAMEA6870443,3131161,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",2022-03-18,2022-03-20,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836101,SAMEA6870443,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:07Z,2022-03-18T00:40:07Z,public,Illumina MiSeq,metagenome,MMPC76947975ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-07-28T06:11:00Z,1,SAMEA6870443,MMPC-3103129-ST-0,Illumina,ERP122062,MMPC-3103129-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294460,AMPLICON,502,7525984,PRJEB38625,SAMEA6870445,4246258,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",2022-03-18,2022-03-18,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836102,SAMEA6870445,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:07Z,2022-03-18T00:40:07Z,public,Illumina MiSeq,metagenome,MMPC17827720ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870445,MMPC-3103202-ST-0,Illumina,ERP122062,MMPC-3103202-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294461,AMPLICON,502,5255438,PRJEB38625,SAMEA6870447,2959487,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2022-03-18,2022-03-18,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836103,SAMEA6870447,human-associated,European Molecular Biology Laboratory,2022-03-18T00:40:07Z,2022-03-18T00:40:07Z,public,Illumina MiSeq,metagenome,MMPC43730151ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-03-24T20:37:00Z,1,SAMEA6870447,MMPC-3103203-ST-0,Illumina,ERP122062,MMPC-3103203-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
ERR9294462,AMPLICON,502,5489872,PRJEB38625,SAMEA6870449,3195848,EUROPEAN MOLECULAR BIOLOGY LABORATORY,2015/2017,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2022-03-18,2022-03-20,human-associated habitat [ENVO:00009003],intestine environment [ENVO:2100002],feces [ENVO:00002003],ERX8836104,SAMEA6870449,human-associated,European Molecular Biology Laboratory,2022-03-18T04:13:25Z,2022-03-18T04:13:25Z,public,Illumina MiSeq,metagenome,MMPC62596168ST,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,The oral and fecal microbiome in chronic pancreatitis and pancreatic cancer.,2022-03-19T00:00:00Z,2022-05-08T09:35:00Z,1,SAMEA6870449,MMPC-3103206-ST-0,Illumina,ERP122062,MMPC-3103206-ST-0,2022-03-18,2022-03-18,EMBL,Spain,Europe,Spain,40.4,-3.6833,,,
