# Pathway	SAMN21877043	SAMN21877044	SAMN21877045	SAMN21877046	SAMN21877047	SAMN21877048	SAMN21877049	SAMN21877050	SAMN21877051	SAMN21877052	SAMN21877053	SAMN21877054	SAMN21877055	SAMN21877056	SAMN21877057	SAMN21877058	SAMN21877059	SAMN21877060	SAMN21877061	SAMN21877062	SAMN21877063	SAMN21877064	SAMN21877065	SAMN21877066	SAMN21877067	SAMN21877068	SAMN21877069	SAMN21877070	SAMN21877071	SAMN21877072	SAMN21877073	SAMN21877074	SAMN21877075	SAMN21877076	SAMN21877077	SAMN21877078	SAMN21877079	SAMN21877080	SAMN21877081	SAMN21877082	SAMN21877083	SAMN21877084	SAMN21877085	SAMN21877086	SAMN21877087	SAMN21877088	SAMN21877089	SAMN21877090	SAMN21877091	SAMN21877092	SAMN21877093	SAMN21877094	SAMN21877095	SAMN21877096	SAMN21877097	SAMN21877098	SAMN21877099	SAMN21877100	SAMN21877101	SAMN21877102	SAMN21877103	SAMN21877104	SAMN21877105	SAMN21877106	SAMN21877107	SAMN21877108	SAMN21877109	SAMN21877110	SAMN21877111	SAMN21877112	SAMN21877113	SAMN21877114	SAMN21877115	SAMN21877116	SAMN21877117	SAMN21877118	SAMN21877119	SAMN21877120	SAMN21877121	SAMN21877122	SAMN21877123	SAMN21877124	SAMN21877125	SAMN21877126	SAMN21877127	SAMN21877128	SAMN21877129	SAMN21877130	SAMN21877131	SAMN21877132	SAMN21877133	SAMN21877134	SAMN21877135	SAMN21877136	SAMN21877137	SAMN21877138	SAMN21877139	SAMN21877140	SAMN21877141	SAMN21877142	SAMN21877143	SAMN21877144	SAMN21877145	SAMN21877146	SAMN21877147	SAMN21877148	SAMN21877149	SAMN21877150	SAMN21877151	SAMN21877152	SAMN21877153	SAMN21877154	SAMN21877155	SAMN21877156	SAMN21877157	SAMN21877158	SAMN21877159	SAMN21877160	SAMN21877161	SAMN21877162	SAMN21877163	SAMN21877164	SAMN21877165	SAMN21877166	SAMN21877167	SAMN21877168	SAMN21877169	SAMN21877170	SAMN21877171	SAMN21877172	SAMN21877173	SAMN21877174	SAMN21877175	SAMN21877176	SAMN21877177	SAMN21877178	SAMN21877179	SAMN21877180	SAMN21877181	SAMN21877182	SAMN21877183	SAMN21877184	SAMN21877185	SAMN21877186	SAMN21877187	SAMN21877188	SAMN21877189	SAMN21877190	SAMN21877191	SAMN21877192	SAMN21877193	SAMN21877194	SAMN21877195	SAMN21877196	SAMN21877197	SAMN21877198	SAMN21877199	SAMN21877200	SAMN21877201	SAMN21877202	SAMN21877203	SAMN21877204	SAMN21877205	SAMN21877206	SAMN21877207	SAMN21877208	SAMN21877209	SAMN21877210	SAMN21877211	SAMN21877212	SAMN21877213	SAMN21877214	SAMN21877215	SAMN21877216	SAMN21877217	SAMN21877218	SAMN21877219	SAMN21877220	SAMN21877221	SAMN21877222	SAMN21877223	SAMN21877224	SAMN21877225	SAMN21877226	SAMN21877227	SAMN21877228	SAMN21877229	SAMN21877230	SAMN21877231	SAMN21877232	SAMN21877233	SAMN21877234	SAMN21877235	SAMN21877236	SAMN21877237	SAMN21877238	SAMN21877239	SAMN21877240	SAMN21877241	SAMN21877242
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	7.09485e-05	0.0	0.000523517	1.12463e-05	0.0	0.000515313	0.000103392	0.0	0.0	0.0	0.000109169	0.0	4.30569e-05	0.0	0.000390289	0.0	0.002265	0.0	0.0	1.69285e-05	4.01937e-05	0.0	6.17983e-06	0.0	6.76673e-05	0.0	0.0	0.0	4.97727e-05	2.87293e-05	0.0	0.0	0.000952139	2.0478e-05	8.28645e-05	5.34609e-05	0.0	0.0	1.8705e-05	0.0	0.0	9.15875e-05	0.0	5.29972e-06	0.0	0.0	0.000831532	9.56524e-05	5.89999e-05	9.29925e-05	0.0	0.000329256	2.90492e-05	3.16943e-05	1.26808e-05	9.02813e-05	0.0	0.0	7.62181e-06	0.0	0.000219481	0.0	0.0	2.22641e-05	0.0	0.0023988	6.41319e-05	0.0	0.0	0.000156611	5.31098e-05	0.0	0.0	0.0	0.0	7.87053e-05	0.00126751	5.00579e-05	0.0	0.0	0.0	5.75044e-06	0.0	0.00178771	5.20366e-05	7.9578e-06	0.0	1.19082e-05	1.34868e-05	0.000126957	0.0	0.000190376	0.000122987	8.24969e-05	0.0	0.0	0.0	0.0	0.0	2.48148e-05	0.000107922	0.000347408	0.000474806	0.000396185	0.0	0.0	0.0	0.000540929	0.000485938	0.00024751	2.76877e-05	0.000182836	0.000482818	0.0	0.000236097	1.03281e-05	0.000648186	0.000104299	0.00129208	0.00187421	9.14233e-06	1.14343e-05	9.03986e-05	4.74832e-05	0.0	8.62228e-05	0.0	0.0	0.0	1.81707e-05	0.000155561	0.0	0.000531217	8.673e-05	0.0	0.000145191	0.0	0.000245521	0.0	0.0	0.0	0.0	1.51516e-05	2.55605e-05	7.88097e-05	2.05154e-05	0.00269537	0.000764387	0.000327721	3.16569e-05	8.30322e-05	7.31302e-06	5.99984e-06	0.0	9.04681e-06	0.000216419	0.0	0.00030304	0.000107933	0.0	0.0	0.0	0.000194698	0.0	0.0	5.05571e-05	0.0	0.000596041	9.30204e-05	5.88257e-05	4.11184e-05	0.0	0.0	0.0	0.0	0.00012064	2.92541e-05	0.0	0.0	0.000269789	0.0	3.48648e-05	1.83086e-05	8.46367e-05	0.0	0.0	0.000372903	1.52158e-05	0.000259326	4.1071e-06	5.33572e-06	0.000343352	1.00038e-05	0.0	0.0	3.56644e-05	0.0	0.0	1.51254e-05	0.000163386
ORNDEG-PWY: superpathway of ornithine degradation	0.00130107	3.47757e-05	0.00124321	8.39821e-05	6.68201e-05	0.0012835	0.000295878	4.38466e-05	0.000904894	9.74994e-05	0.000345362	0.0	0.000220227	0.000186984	0.00191763	0.000162447	0.00600365	0.000129825	0.000124914	0.000135935	0.000114659	0.000189079	9.66018e-05	0.000156981	0.000131982	0.000178054	0.000365716	9.39296e-06	0.000213675	0.000235083	7.79979e-05	6.68874e-05	0.00716308	0.000194387	0.000341506	0.000282446	3.98204e-05	0.00015923	9.22559e-05	0.00023625	0.000179923	0.000587425	0.000254721	8.40245e-05	0.000122433	6.98618e-05	0.00364461	0.000251456	0.000405964	0.000521962	3.38224e-05	0.00184812	0.000300449	0.000208439	0.000319624	0.000378326	1.79526e-05	9.83276e-05	0.000275405	8.42768e-05	0.000493096	7.52566e-05	0.0	0.000131717	0.000239619	0.00478	0.000278729	0.0	0.000412614	0.000389033	0.0002961	1.06952e-05	7.97747e-05	9.55565e-05	9.80199e-05	0.000233324	0.0024211	0.000264192	0.000184526	3.52471e-05	2.34293e-05	0.000104661	2.50192e-05	0.0046577	0.000463314	0.000193564	0.0	5.02572e-05	9.60834e-05	0.000606501	0.000119565	0.000392424	0.000557379	0.00010647	0.000258846	0.000132882	0.0	4.35574e-05	7.44787e-05	0.000228405	0.000319882	0.000774275	0.00113393	0.0010238	0.00217047	0.000834066	0.0	0.00194091	0.000891531	0.000560939	0.000127102	0.000438792	0.000933059	5.26455e-05	0.00103673	0.000147243	0.0024436	0.000334292	0.00281242	0.00422505	3.82244e-05	8.37265e-05	0.000399996	0.000474095	6.80204e-05	0.000333301	7.47864e-05	0.000463407	7.94284e-05	0.000453833	0.00132469	0.000140473	0.00100297	0.000284998	0.000634944	0.000812911	0.000417298	0.000969397	0.000409964	0.00026663	0.0	6.94163e-05	0.000143961	9.5878e-05	9.62842e-05	8.25964e-05	0.00588579	0.00187421	0.000720236	0.000479877	0.000304262	0.000186627	0.000345212	8.81759e-05	0.000100745	0.000836988	2.63086e-05	0.00162713	0.000597865	5.24186e-05	3.62952e-05	0.000139059	0.000613333	0.000102681	4.42844e-05	0.000451605	0.000207677	0.00139139	0.00048376	0.00018069	0.000247782	0.000150971	5.61648e-06	8.57509e-05	0.0	0.000334165	0.000216448	5.0647e-05	0.00141182	0.0010231	4.61707e-05	0.000258532	0.000211768	0.000315896	9.22906e-05	0.000532696	0.00118948	0.000253369	0.000612768	7.19155e-05	0.000155661	0.00127466	0.000130033	0.000151016	7.54239e-05	0.00043006	3.31017e-05	0.000976533	0.000182756	0.00049188
P101-PWY: ectoine biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.86758e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.38044e-06	0.0	0.0	0.0	0.0	5.06252e-06	0.0	3.32837e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.05357e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.51253e-05
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	0.0010537	0.000531731	0.0008326	4.76522e-05	4.58821e-05	0.00143668	0.000467115	2.16454e-05	0.000285936	1.88624e-05	0.000143415	0.000436264	0.000288116	0.000527764	0.000808498	0.000193031	0.00278536	7.54573e-05	5.13174e-05	0.000105249	5.46573e-05	0.000121739	3.04494e-05	7.76391e-05	0.000213056	0.000149117	0.000212656	6.0204e-05	7.40118e-05	0.000238785	0.000115919	0.000641892	0.00253156	0.000292661	0.000709613	0.000476538	1.98736e-05	4.01958e-05	2.80457e-05	0.000181034	0.0	0.000557809	0.000196542	0.000388862	1.90317e-05	9.44059e-05	0.00227744	0.000443033	0.000555655	0.000853793	1.25728e-05	0.00244211	0.000247017	0.000161725	0.000226476	0.000448037	0.0	0.000589804	0.000175698	3.88177e-05	0.000435816	0.000384779	5.19658e-05	0.000242251	0.00028196	0.0034398	0.000377895	0.0	0.00032153	0.000751934	0.000414652	0.000281763	1.1772e-05	0.000132509	2.82531e-05	0.000465819	0.00272345	0.00048663	0.0	0.0	8.9679e-05	5.10818e-05	3.88063e-05	0.00261935	0.000464192	9.13524e-06	3.19954e-05	7.23435e-05	5.38151e-05	0.000510543	0.000215602	0.000522953	0.000942688	0.000476819	0.000386128	0.00012294	0.000643871	0.000282272	1.27384e-05	0.000221801	0.000246337	0.000521722	0.001039	0.000813787	0.00133052	0.000611389	4.65905e-05	0.00136734	0.000833779	0.000848202	2.25184e-05	0.000755012	0.000743724	0.000109226	0.00179923	9.43211e-05	0.00132378	0.000470182	0.00199123	0.00310776	0.000132261	0.000117161	0.000239019	0.0004888	4.33984e-05	0.000398198	6.66254e-05	5.25035e-05	1.28582e-05	0.000310074	0.000824615	8.36781e-05	0.0010968	0.000480223	0.00039502	0.000816396	0.00028211	0.000855468	0.000363731	4.17229e-05	0.0	0.000201533	0.000207399	0.000267766	0.000105817	0.0001532	0.00262535	0.0021323	0.00101939	0.000115592	0.00069067	0.000110808	3.29712e-05	9.4382e-05	0.000247317	0.000912419	1.14646e-05	0.00141807	0.000915175	0.000351835	2.34916e-05	0.000135798	0.000562897	2.8869e-05	0.000884334	0.000466041	0.000159201	0.00130417	0.000341662	0.000698226	0.000385583	0.000142524	3.00338e-05	6.03856e-05	9.18431e-06	0.00023494	0.000211935	0.000390938	0.00119667	0.00045475	0.000178945	0.000334802	0.000208053	0.000543676	9.67264e-05	0.000229813	0.00202461	0.000104596	0.00110103	0.000128793	4.37704e-05	0.00169984	0.000146606	0.0	0.000432989	0.000472799	9.28078e-05	0.000516966	0.000124135	0.000427718
P108-PWY: pyruvate fermentation to propanoate I	0.000785505	2.95485e-05	0.000137266	8.86237e-05	1.6087e-05	0.000171993	0.000174427	0.000103252	0.000468678	1.22642e-05	0.000259703	0.0	0.000145709	0.000472454	0.000438333	0.0	1.87112e-05	4.01272e-05	8.7801e-05	0.000154534	4.88794e-05	7.18551e-05	2.01755e-05	0.000409508	0.000339621	5.53713e-05	0.000287948	1.92713e-05	0.000256573	0.000273694	0.00026351	6.13987e-05	5.96706e-05	0.000752395	0.00029359	0.000149035	5.79289e-05	9.26469e-06	0.000126666	0.000172305	0.0	3.75132e-05	0.000570226	1.8571e-05	0.000162401	3.41078e-05	6.8872e-05	0.000263317	0.000218352	0.000314804	4.7224e-05	0.000796704	0.000241391	0.000134889	0.000247295	0.000152195	0.0	0.000228442	0.000158345	0.000143469	0.000648749	8.72093e-05	1.10919e-05	0.000106983	0.000224175	8.58623e-05	0.00020946	5.67881e-05	0.00011685	0.000190539	0.00018683	7.79449e-05	0.000279758	0.000157943	0.000468708	8.33126e-05	0.000317971	0.000161803	0.000181692	1.82961e-05	0.000121259	0.000135502	9.56493e-06	0.000360376	0.000242678	0.000137323	7.31814e-05	4.82517e-05	0.000166263	0.000229673	0.000102177	0.000117858	4.34029e-05	0.000137482	0.000607209	1.58023e-05	0.0	5.17013e-05	0.000316915	0.000267664	0.000299706	0.000686212	0.000544644	0.000858499	0.000637891	0.000329143	0.0	0.00085352	0.000185857	0.000269165	4.69705e-05	0.000213092	0.000809297	3.24229e-05	0.000990591	8.57052e-05	0.000410917	0.000282059	2.174e-05	0.000990368	1.23612e-05	0.0	0.000280249	0.00026364	0.000112138	0.000224557	5.36161e-05	8.46072e-05	4.15063e-05	0.000482337	0.00119131	0.000135584	0.00110517	0.000189346	0.000569951	0.000458953	0.000192176	0.000365143	0.000248604	0.00011414	0.0	4.74472e-05	0.000228347	0.000288202	0.000516717	0.000317271	0.000247619	0.00108685	0.000376372	0.000167276	0.000194277	9.78676e-05	0.000162692	0.000306701	0.000105002	0.000429501	2.97963e-05	0.00042696	0.000254621	6.97782e-06	4.77807e-05	0.0003389	0.000322891	0.000102628	0.000115881	0.000109193	9.46938e-05	0.000379556	0.000261594	0.000246695	0.000126063	2.50747e-05	2.08471e-05	0.000288674	1.782e-05	0.000356906	0.000198902	1.30728e-05	0.0010254	0.000567452	0.000252564	0.000349359	0.000141339	0.0001463	0.000191202	0.000221878	0.000354617	0.000290863	0.000293202	0.000159894	2.33433e-05	0.000283119	4.39898e-05	3.62171e-05	0.000112051	0.000480547	5.35193e-05	0.000599408	0.00018893	0.000260462
P122-PWY: heterolactic fermentation	0.000660778	0.0	0.000845655	4.91354e-05	2.54319e-05	0.00056952	0.000132946	2.43865e-05	0.000669007	0.0	0.000100643	0.0	9.80081e-05	4.40995e-05	0.000543462	8.19147e-05	0.000989853	2.61403e-05	4.45289e-06	0.000117265	8.01629e-05	2.64246e-05	0.0	0.000109299	0.000241204	6.56068e-05	0.000197713	2.86305e-05	0.000218916	0.0001588	0.000150578	0.0	0.00118503	0.00050805	0.000171033	0.000113046	0.0	7.19914e-06	0.000104343	5.33436e-05	0.0	0.000213237	0.000138333	4.29644e-06	0.0	0.0	0.000879059	0.000116625	0.000145918	0.000233938	0.0	0.000706785	6.56856e-05	7.0138e-05	9.50419e-05	0.000186207	0.0	8.49401e-05	0.000114904	3.86422e-05	0.000149629	1.07184e-05	3.65159e-05	4.57061e-05	9.1229e-05	0.00152114	0.000123104	0.0	0.000199692	0.000145784	0.000136	6.36803e-05	0.000138564	0.000119828	0.000268298	0.000165635	0.000826317	0.000117909	6.30925e-06	0.0	5.72055e-05	5.90206e-05	0.0	0.000863806	0.000131964	0.000124327	4.66512e-05	3.23058e-05	5.70883e-05	0.000137616	3.37807e-05	0.000105829	0.000233315	3.55618e-05	0.000484231	2.00254e-05	0.0	5.60029e-06	0.000184979	0.000117901	0.0001058	0.000581968	0.000428821	0.000798066	0.000862633	0.000484792	0.000521342	0.000584803	0.000192761	0.000183869	0.0	0.000194792	0.000319743	4.93609e-06	0.000636561	1.85249e-05	0.000737351	2.9503e-05	0.00105236	0.00145449	0.0	7.37969e-06	6.81275e-05	0.000148658	4.30111e-05	9.34235e-05	0.0	0.0	0.0	0.000291809	0.000665065	8.27592e-05	4.72823e-05	0.000122383	0.000188122	0.000268953	0.000196933	0.000434905	0.000177066	5.73568e-05	0.0	6.68859e-06	6.40539e-05	9.48758e-05	0.0004734	0.000614075	0.00112399	0.000605793	0.000359858	7.39648e-06	0.000192522	8.38689e-05	3.87549e-05	0.000113262	5.29912e-05	0.000244546	0.0	0.000536437	0.000447906	0.0	9.36091e-06	0.000126141	0.00032931	0.0	4.44551e-05	0.000174155	8.32329e-06	0.000642623	0.000142216	0.000161574	5.23003e-05	2.71315e-05	0.0	0.000126325	0.0	0.000179382	9.33811e-05	1.65389e-05	0.000576267	0.000536666	9.71033e-05	5.21356e-05	2.84117e-05	0.000127667	3.37311e-05	0.000161309	0.000333829	0.000544387	0.000484747	5.45414e-05	0.0	0.000249846	7.69944e-06	0.0	5.68926e-05	0.000272	2.69875e-05	0.00011513	5.08458e-05	0.00039248
P124-PWY: Bifidobacterium shunt	0.000161973	2.91707e-05	2.45177e-05	0.00030708	2.59033e-05	0.000662833	5.13393e-05	0.0	0.0	0.0	3.96184e-05	0.0	0.0	0.00140795	3.15099e-05	0.000179613	0.000165606	0.000641866	3.33751e-05	0.000103334	2.3256e-05	0.00148586	0.000299847	4.70326e-05	0.000123296	0.000126774	0.000274115	0.000120902	6.89787e-05	0.0	0.000354392	0.0	0.000202962	0.000541253	0.000632268	0.000166151	0.0	7.90078e-05	6.37397e-05	0.000511535	0.0	7.48993e-05	0.0	9.97296e-05	0.000971656	0.0010511	0.0	2.46979e-05	0.001559	0.00111848	0.000165195	0.0	8.17051e-05	4.80251e-05	3.29641e-05	4.56359e-05	0.0	0.000245624	0.00095529	0.000285352	0.0	7.41277e-05	0.0	8.53393e-05	0.0	1.41382e-05	2.55351e-05	0.00030891	9.42143e-05	0.0	4.05695e-05	1.94566e-05	0.00015235	2.87341e-05	0.000138449	0.000367675	0.0	1.52919e-05	7.2325e-05	3.82188e-05	0.0	0.000587929	6.57575e-05	4.55945e-05	0.000887216	0.000286843	0.0	0.000118017	5.77129e-05	5.96674e-05	0.000104676	0.0	0.0	5.49478e-05	0.0	0.0	0.0	2.82782e-05	0.0020605	0.000310065	0.000224978	0.000367968	6.30744e-05	0.00129657	0.00110555	0.00338247	0.000640098	0.00095129	0.00366939	0.0026738	0.0	0.000224837	0.000243538	0.0	0.000636563	0.000306396	8.20035e-05	0.000116619	0.0	0.00147814	0.000249815	0.000159429	3.64479e-05	0.0	0.000225182	2.46194e-05	0.000593779	0.000259952	0.000121188	0.000306131	0.0	0.000378644	0.000112722	0.00123611	0.0	3.26942e-05	0.0	0.000777304	0.000190491	0.000107239	0.0	0.000474188	0.000266947	0.000226508	0.00289186	0.00465666	0.0	0.0	5.25087e-05	0.0	0.0	0.000350408	0.0	0.0	0.0	7.71604e-05	0.000418394	0.0	0.000105044	3.39722e-05	7.18826e-05	0.000144327	0.0	0.0	5.05774e-05	3.4704e-05	0.000707138	2.92854e-05	0.000143885	0.000217919	0.0	0.000720609	0.000405565	0.000304375	0.00116606	0.0	7.36602e-05	0.000247216	0.000305183	0.000155833	0.0	7.86744e-05	0.000622807	1.26677e-05	0.000724141	0.000388986	0.0	2.15537e-05	3.03556e-05	0.000514804	0.0	6.56599e-05	0.000132353	0.0	0.000152081	3.82777e-05	0.000321032	0.000350956	0.0	0.0
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	1.13875e-05	8.32561e-06	2.30575e-05	1.08796e-05	0.0	2.5057e-05	2.32463e-05	6.18417e-06	0.0	0.0	0.0	0.0	0.0	0.0002769	0.0	0.0	3.82593e-05	4.92479e-05	0.0	0.0	1.62543e-05	1.15033e-05	0.0	1.86553e-05	0.000140409	7.61206e-06	1.6645e-05	0.0	6.10541e-06	1.36272e-05	1.83176e-05	4.03002e-05	0.0	5.50682e-05	1.23278e-06	2.53638e-06	2.13873e-05	0.000154267	1.3048e-05	2.72576e-05	2.42842e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.76174e-05	2.59111e-05	1.84849e-06	1.27249e-05	0.0	6.58019e-05	0.0	6.90077e-06	0.0	1.43761e-05	1.38491e-05	2.47923e-05	0.0	0.0	0.0	4.00439e-05	0.0	9.28557e-07	0.0	1.33388e-05	0.0	1.79836e-05	0.0	0.0	0.0	1.79891e-05	9.89979e-06	5.20364e-05	9.76796e-06	0.0	0.0	0.0	0.0	8.93167e-05	0.0	0.000173513	0.0	0.0	0.0	1.31581e-05	1.06022e-05	0.0	0.0	0.0	0.0	1.18489e-05	0.000120532	0.0	2.89947e-05	0.0	7.25906e-05	1.89414e-05	0.0	7.17141e-06	2.30935e-05	7.93213e-05	7.81763e-05	6.80487e-05	0.0	4.5512e-05	0.000111889	1.14275e-05	0.0	0.000188718	1.52582e-05	0.0	8.3134e-05	9.38857e-06	0.0	0.0	0.000140671	6.5509e-06	0.0	3.71764e-06	0.0	0.0	0.0	1.21574e-05	2.53374e-05	1.79912e-05	4.44005e-05	0.0	1.3742e-05	0.000251624	3.84071e-05	0.0	5.6314e-06	5.23708e-06	1.12763e-05	0.0	4.50605e-06	0.0	0.0023597	2.34703e-05	1.93409e-05	0.000232669	8.11828e-05	0.000204033	1.64139e-06	2.41832e-05	5.13267e-06	7.48122e-05	0.0	0.00026159	7.96926e-06	3.10432e-05	0.0	0.0	0.0	0.0	2.83789e-05	0.0	0.0	0.000235106	0.0	0.0	8.90214e-06	0.0	2.51638e-05	4.40921e-05	0.0	9.32996e-06	0.0	0.000410089	1.46595e-05	0.000139662	0.0	0.0	8.57323e-06	0.0	0.0	0.0	2.19282e-05	0.0	0.0	0.0	0.0	0.0	3.76219e-05	3.45468e-05	1.62802e-05	1.20158e-05	0.0	0.0	0.0	5.08991e-06	0.0	1.71849e-05	0.0	2.2114e-05	0.0	0.0
P161-PWY: acetylene degradation (anaerobic)	0.00224436	0.000173194	0.00160698	9.86923e-05	5.47096e-05	0.00133701	0.000420928	0.000272514	0.00274816	0.0	0.000174851	0.000272338	0.000515092	0.00199834	0.00192129	0.000603114	0.00367311	8.75871e-05	0.000257354	0.000243095	0.000103762	0.000280287	0.00025818	0.000286136	0.000256178	0.000352759	0.000403979	0.000103253	0.000248506	0.000408533	9.25089e-05	9.34712e-05	0.00523067	0.000273584	0.000762229	0.000621865	0.0	0.000171646	0.000213648	0.000723696	0.00012448	0.000412375	0.000641975	8.07613e-05	0.000218432	0.000110434	0.00557318	0.000512259	0.000322103	0.00051929	0.000137503	0.00198701	0.000343199	0.000332674	0.000562247	0.000571991	1.39649e-05	0.000153445	0.000394151	0.000290373	0.000648047	0.000254818	0.000102174	0.000235909	0.000996532	0.00657912	0.000554491	0.000137364	0.000178247	0.000521027	0.000681667	0.000198259	0.000329708	0.000133298	0.000136982	0.000514544	0.00242502	0.000191498	9.05688e-05	0.000159996	8.51556e-05	0.00024704	0.00014764	0.00445455	0.000749173	0.000281661	2.55357e-05	0.000396215	0.000184067	0.000533157	0.000149797	0.000431472	0.000694781	0.00024193	0.000251674	0.000192668	0.000242453	0.000325301	0.000163816	0.000409719	0.000656013	0.000887003	0.00149958	0.001859	0.0011991	0.00108668	0.000512473	0.00227571	0.0012675	0.000377847	0.000232512	0.000883026	0.00157799	0.000155335	0.00259284	0.000333513	0.0029399	0.00322879	0.00326338	0.00398297	0.00264831	0.000498958	0.000462233	0.000734707	8.92052e-05	0.000596002	0.000354093	0.000255241	0.000324489	0.000899321	0.00163862	0.000430382	0.00312296	0.000652934	0.000410353	0.00143582	0.000451833	0.0021228	0.000276391	0.000521315	0.000879457	0.000703132	0.000281199	0.000416578	0.0019764	0.000687155	0.00525638	0.00248731	0.000976831	0.000791979	0.000492458	0.000254441	0.000164397	0.000161048	0.000324194	0.0019307	0.000122123	0.00126347	0.000733298	0.000272485	0.000228044	0.000784632	0.00132575	0.000545803	0.000102669	0.000806446	0.000589876	0.00283276	0.000766733	0.000398885	0.000387895	0.000517177	0.000208801	0.000291575	8.37502e-05	0.000446237	0.00043555	0.000188403	0.00220786	0.00115355	0.000180181	0.000299718	0.000328658	0.000681682	0.000125637	0.00149019	0.00146403	0.000511065	0.00102149	0.000480929	9.43535e-05	0.0012555	0.000288078	0.000165872	0.000239415	0.00105398	0.000414091	0.00139096	0.000315298	0.00056269
P162-PWY: L-glutamate degradation V (via hydroxyglutarate)	0.0	0.0	0.0	0.0	0.0	0.0	0.00012852	0.0	2.20625e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000403331	0.0	6.3443e-05	0.0	0.0	0.0	1.90547e-05	0.0	0.0	0.0	0.0	0.0	0.0	2.0019e-05	0.0	0.0	0.000140146	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.05461e-05	0.0	0.0	0.0	0.0	1.60498e-05	0.0	0.0	0.0	0.0	3.31913e-05	6.76601e-05	0.0	0.0	0.0	0.0	0.0	5.84837e-05	0.000225465	0.0	0.0	0.0	0.0	4.50044e-05	0.0	0.0	7.8046e-05	0.0	0.0	0.0	0.0	0.0	1.71018e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.95939e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.70036e-05	0.0	0.0	0.0	0.0	0.0	1.67291e-05	0.0	0.0	0.0	0.0	0.0	0.000268696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.10696e-05	0.0	0.0	0.0	5.24635e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.44144e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000235506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.38524e-05	0.0	0.0	0.0	0.0
