# Pathway	SAMN08335126	SAMN08335128	SAMN08335135	SAMN08335136	SAMN08335138	SAMN08335140	SAMN08335141	SAMN08335033	SAMN08335037	SAMN08335038	SAMN08335039	SAMN08335042	SAMN08335047	SAMN08335049	SAMN08335050	SAMN08335053	SAMN08335057	SAMN08335058	SAMN08335060	SAMN08335062	SAMN08335063	SAMN08335065	SAMN08335066	SAMN08335067	SAMN08335068	SAMN08335069	SAMN08335071	SAMN08335072	SAMN08335074	SAMN08335078	SAMN08335079	SAMN08335919	SAMN08335922	SAMN08335923	SAMN08335924	SAMN08335925	SAMN08335930	SAMN08335931	SAMN08335932	SAMN08335934	SAMN08335935	SAMN08335936	SAMN08335937	SAMN08335941	SAMN08335942	SAMN08335943	SAMN08335127	SAMN08335129	SAMN08335130	SAMN08335131	SAMN08335132	SAMN08335133	SAMN08335134	SAMN08335137	SAMN08335139	SAMN08335142	SAMN08335143	SAMN08335144	SAMN08335034	SAMN08335035	SAMN08335036	SAMN08335040	SAMN08335041	SAMN08335043	SAMN08335044	SAMN08335045	SAMN08335046	SAMN08335048	SAMN08335051	SAMN08335052	SAMN08335054	SAMN08335055	SAMN08335056	SAMN08335059	SAMN08335061	SAMN08335064	SAMN08335070	SAMN08335073	SAMN08335075	SAMN08335076	SAMN08335077	SAMN08335080	SAMN08335081	SAMN08335082	SAMN08335083	SAMN08335920	SAMN08335921	SAMN08335926	SAMN08335928	SAMN08335929	SAMN08335933	SAMN08335938	SAMN08335939	SAMN08335940	SAMN08335944	SAMN08329222	SAMN08329225	SAMN08329227	SAMN08329229	SAMN08330723	SAMN08330730	SAMN08330739	SAMN08330746	SAMN08330748	SAMN08330749	SAMN08330751	SAMN08330752	SAMN08335119	SAMN08335022	SAMN08335024	SAMN08335025	SAMN08335028	SAMN08335031	SAMN08335032	SAMN08335084	SAMN08335085	SAMN08335086	SAMN08335089	SAMN08335091	SAMN08335096	SAMN08335097	SAMN08335099	SAMN08335102	SAMN08335108	SAMN08335113	SAMN08329223	SAMN08329224	SAMN08329226	SAMN08329228	SAMN08329230	SAMN08330722	SAMN08330724	SAMN08330725	SAMN08330726	SAMN08330727	SAMN08330728	SAMN08330729	SAMN08330731	SAMN08330732	SAMN08330733	SAMN08330734	SAMN08330735	SAMN08330736	SAMN08330737	SAMN08330738	SAMN08330740	SAMN08330741	SAMN08330742	SAMN08330743	SAMN08330744	SAMN08330745	SAMN08330747	SAMN08330750	SAMN08335115	SAMN08335116	SAMN08335117	SAMN08335118	SAMN08335120	SAMN08335121	SAMN08335122	SAMN08335123	SAMN08335124	SAMN08335125	SAMN08335145	SAMN08335146	SAMN08335147	SAMN08335148	SAMN08335149	SAMN08335023	SAMN08335026	SAMN08335027	SAMN08335029	SAMN08335030	SAMN08335087	SAMN08335088	SAMN08335090	SAMN08335092	SAMN08335093	SAMN08335094	SAMN08335095	SAMN08335098	SAMN08335100	SAMN08335101	SAMN08335103	SAMN08335104	SAMN08335105	SAMN08335106	SAMN08335107	SAMN08335109	SAMN08335110	SAMN08335111	SAMN08335112	SAMN08335114
HSERMETANA-PWY: L-methionine biosynthesis III	0.00372829	0.00140436	0.00208899	0.00522825	0.00379055	0.00230149	0.00995582	0.00606011	0.00351575	0.00275955	0.00365616	0.00402452	0.00616034	0.0047739	0.00481389	0.0047442	0.00414527	0.00438106	0.00396489	0.00416286	0.00534265	0.00471762	0.00364647	0.0048745	0.00624444	0.0048861	0.00398458	0.00559401	0.00416651	0.00648962	0.00608625	0.00516997	0.00618024	0.00935224	0.00442134	0.005289	0.00885147	0.00555391	0.00535161	0.00494188	0.00585937	0.00496967	0.00380096	0.00571249	0.00653569	0.00713044	0.00417031	0.00353162	0.00443616	0.00367652	0.00352447	0.00260343	0.00476942	0.0023864	0.00522155	0.00462702	0.00455023	0.0034164	0.00176738	0.00839224	0.00321554	0.00355719	0.00509405	0.00260928	0.00349706	0.00403191	0.00486626	0.00529312	0.00306539	0.00348998	0.00427246	0.00408354	0.00385216	0.00435451	0.00363898	0.00359652	0.00571556	0.00366391	0.00337475	0.00485271	0.00399493	0.00472524	0.00605698	0.00185719	0.00378444	0.00486056	0.0047872	0.0043304	0.0048508	0.00749223	0.00254996	0.0052248	0.00563618	0.00381603	0.00651872	0.00511073	0.00633934	0.00539564	0.00304948	0.00263738	0.00449964	0.00409997	0.00297797	0.00422378	0.00348597	0.00504615	0.00325825	0.00309554	0.00740751	0.00432423	0.00484053	0.0029161	0.00473747	0.00451973	0.00279828	0.00267956	0.00582247	0.00467548	0.00504903	0.00270343	0.00500402	0.00474241	0.00513411	0.00488148	0.00546129	0.0073403	0.00422606	0.00462968	0.00600081	0.00362047	0.00263845	0.0031759	0.00421926	0.00404899	0.000624341	0.000386857	0.00286871	0.0137838	0.00322106	0.00330825	0.00388256	0.00310889	0.00127976	0.00281481	0.00294725	0.00842881	0.00265481	0.00337138	0.0033118	0.00451946	0.00844362	0.00753788	0.00584406	0.00426217	0.00490385	0.00543895	0.00480063	0.00447387	0.00229194	0.00516308	0.00287231	0.00487051	0.0051127	0.0037047	0.00361198	0.00450372	0.00457232	0.00341651	0.00350098	0.00437804	0.0042508	0.00327867	0.00396056	0.00447039	0.00483062	0.0053397	0.0037234	0.00266686	0.00307707	0.00436084	0.0044219	0.0033783	0.00298603	0.00348304	0.00392072	0.00636166	0.00576839	0.00547539	0.00427912	0.00854879	0.00263515	0.00379714	0.0034497
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.00821152	0.00535647	0.00805192	0.00864198	0.00537936	0.0174319	0.0157195	0.0103091	0.00672956	0.0163014	0.00684175	0.00730793	0.00805771	0.00731121	0.00680232	0.00775958	0.00814555	0.0086605	0.00680663	0.00840239	0.00738458	0.00742369	0.00864621	0.009334	0.00954317	0.00773887	0.00749235	0.00944026	0.0173334	0.00878314	0.015517	0.00551151	0.00898431	0.0105195	0.0100199	0.00946366	0.0162899	0.00975331	0.00994473	0.0099989	0.00998301	0.00720288	0.0157756	0.0106643	0.00803411	0.0106502	0.0164408	0.00769745	0.00780024	0.0145583	0.00897125	0.01458	0.00681658	0.0163013	0.00832144	0.00764717	0.0161955	0.011561	0.00724443	0.0156837	0.00595493	0.0191491	0.0131817	0.00800485	0.013688	0.0140196	0.0090996	0.00816906	0.00605922	0.00785018	0.00741599	0.0073046	0.0104449	0.00829034	0.00744592	0.00906772	0.00951967	0.0108758	0.00677498	0.00926708	0.0087188	0.0138693	0.0125729	0.0183239	0.00918519	0.0083324	0.0157144	0.0116193	0.00650117	0.0130755	0.00673824	0.0072716	0.0089704	0.00721316	0.00988248	0.00738753	0.00785996	0.00945008	0.00884739	0.00701494	0.0083105	0.00646321	0.00792226	0.0104204	0.00796373	0.00856799	0.00764883	0.00830156	0.0111301	0.00668294	0.00806045	0.00904072	0.00770398	0.00734872	0.00584629	0.00813107	0.00959947	0.00710656	0.00890883	0.00577153	0.00763893	0.00912423	0.00856019	0.00802772	0.00711714	0.0117225	0.00987528	0.00838875	0.011726	0.00866138	0.0077083	0.00781874	0.0129362	0.00932925	0.0207724	0.0332282	0.00979351	0.0170305	0.00944584	0.0149621	0.00587034	0.00760302	0.00776264	0.00860414	0.00712526	0.0210927	0.0096218	0.00785935	0.00904369	0.00803385	0.0102251	0.0107599	0.00908615	0.00625197	0.0125843	0.0088922	0.00894353	0.00746993	0.00873109	0.00836097	0.0159297	0.00939752	0.00609082	0.00666828	0.00874215	0.00830914	0.00763661	0.00913796	0.00799606	0.00683669	0.00698741	0.00884397	0.0077718	0.00694835	0.0136859	0.00765808	0.00594893	0.00841957	0.00701427	0.00615886	0.00957727	0.0061828	0.0105269	0.00604858	0.00615829	0.00885662	0.0144019	0.0097834	0.00595281	0.0132819	0.00752441	0.00877459	0.00709829
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	4.34663e-05	4.58382e-05	6.7627e-05	2.03036e-05	0.0	0.0	0.000102852	9.70245e-05	0.000870145	0.000111247	5.14007e-05	6.43625e-05	1.50037e-05	0.000166135	0.000179136	0.000109699	0.000106927	0.0	0.000513061	6.45834e-05	0.000126956	0.000139432	2.47243e-05	7.32812e-05	1.31581e-05	0.000485418	0.000170495	3.34048e-05	0.0	5.29259e-05	0.0	0.000107445	4.36712e-05	5.09176e-05	1.59288e-05	0.0	0.0	0.0	0.0	9.05325e-05	0.0	0.0	1.29179e-05	4.21096e-05	0.000187721	3.28046e-05	0.0	0.0	9.63053e-06	0.000105969	6.49026e-05	0.0	3.80503e-05	0.0	0.000118176	1.53387e-05	0.0	0.0	0.0	0.0	0.000126218	7.42146e-05	0.000103845	7.9638e-05	0.000184848	0.000262151	0.000177887	0.000242039	2.45372e-05	6.27267e-05	7.13549e-06	6.93001e-05	0.000292979	6.33016e-05	0.000545021	0.0	0.0	0.000129087	0.000678178	6.62981e-05	0.0	5.83296e-05	4.04315e-05	2.78552e-05	0.0	4.06218e-05	7.16981e-05	0.000113791	0.000302562	0.0	9.52258e-05	0.0	0.000144641	0.000469541	5.45324e-05	4.80937e-05	0.000146265	0.00036368	0.0	4.2801e-05	0.0	0.0	0.0001141	0.0	4.80048e-05	0.0	1.48421e-05	0.000392043	2.38e-05	0.000405914	0.000210034	4.70062e-05	0.000103681	0.00023748	0.000354993	0.000408203	9.39028e-05	0.000385471	0.0	0.000269363	0.000400948	3.40209e-05	0.000308545	0.000197504	0.000333587	0.0	0.000224777	1.62864e-05	4.74638e-05	1.76778e-05	6.92914e-05	0.0	1.40259e-05	0.0	0.000133417	0.0	0.0	3.27039e-05	0.0	0.0	0.000543704	2.16501e-05	8.13922e-05	1.36914e-05	8.44479e-05	0.0	0.000255646	1.4666e-05	2.56476e-05	0.0	0.0	0.0	4.25248e-05	0.000845225	1.07673e-05	0.0002332	1.69052e-05	0.0	0.000104703	0.0	0.000103988	0.0	0.00072356	0.00025644	0.0	0.0	0.000305037	0.000272162	0.000113862	0.000547764	0.000372306	0.000224568	6.96448e-05	0.000397493	5.0685e-05	0.000474114	0.00079187	4.77418e-05	0.000676601	0.000123729	0.0	0.000268442	0.0	0.000410487	0.000812342	1.00255e-05	0.0	0.00010955	0.000726317	8.86268e-05	0.000188181	0.000102483	0.000329082
KETOGLUCONMET-PWY: ketogluconate metabolism	2.19527e-05	7.42955e-05	0.000226606	2.47153e-05	3.53622e-05	0.0	0.000117273	6.48778e-05	0.00116724	6.86979e-05	1.61817e-05	5.29868e-05	3.94238e-05	0.000135159	0.000806575	6.06804e-05	0.000196807	1.94592e-05	0.000311126	4.95276e-05	0.000242611	0.000279433	8.06349e-05	3.89942e-05	2.50214e-05	0.000655457	0.000193035	3.67546e-05	0.0	9.5861e-05	2.53064e-05	0.00022023	8.6465e-05	0.000164666	7.92502e-05	0.0	0.0	0.0	2.82079e-06	0.000702807	0.0	0.0	0.0	4.97316e-05	0.000135326	2.0426e-05	5.40326e-06	0.0	2.08014e-05	2.89019e-05	0.000100674	6.71343e-06	1.51079e-05	0.0	0.000588379	1.12476e-05	4.98479e-06	0.0	0.0	0.0	0.000149748	9.169e-05	0.000123388	6.02962e-05	0.000216812	0.000271622	0.000150511	0.00080704	1.7187e-05	0.000140466	2.65696e-06	7.68995e-05	0.000175619	0.000386184	0.000915057	0.0	0.000127124	0.000566637	0.00246039	0.0	0.0	9.58781e-06	5.91625e-05	0.0	6.40615e-06	6.09313e-06	7.01523e-05	0.000343751	0.000732393	8.58098e-06	0.000191569	0.0	3.10452e-05	0.000726537	0.0008279	2.06764e-05	0.00107608	0.000431426	0.0	0.000360828	3.93722e-06	0.0	0.000335783	4.13142e-05	0.000117837	1.0528e-05	2.51731e-05	0.000476786	1.11422e-05	0.000505808	0.000112379	5.14982e-05	0.000104386	0.000162695	0.00130231	0.00096409	0.000167832	0.000228318	3.10987e-05	0.000519794	0.000290333	6.99446e-05	0.000270256	0.000258432	0.000283174	3.42558e-05	0.000569912	0.0	2.62585e-05	0.00024517	0.000585609	0.0	0.000183694	5.69037e-06	0.0	0.0	2.9516e-05	6.61589e-05	0.0	0.0	0.000448592	3.9399e-05	0.000358269	4.35619e-05	0.000132213	0.0	0.000124263	5.63297e-05	0.000292184	4.28153e-06	0.000121054	0.0	0.000456723	0.000386375	1.28967e-05	0.000661395	4.29231e-05	1.10388e-05	1.8751e-05	0.0	4.828e-05	0.0	0.00141328	0.00157655	0.0	0.0	0.00160975	0.000511515	8.55791e-05	0.000114256	0.000341034	0.00011868	0.000264132	8.94748e-05	5.3305e-05	0.00218433	0.00107259	6.40906e-05	0.00240749	6.35091e-05	0.0	0.000343279	5.00096e-06	0.000531742	0.00229501	1.13226e-05	0.0	0.000474459	0.00185867	0.000434116	0.000285861	0.000385665	0.000192265
LACTOSECAT-PWY: lactose and galactose degradation I	0.00011399	8.44204e-05	0.00017678	0.000206745	0.000130408	0.000217485	7.03722e-05	0.000243533	0.000267532	0.000315047	0.000119637	0.00011517	0.000133686	0.000241944	0.000573745	0.000114924	0.000338367	0.000295801	0.000457243	9.8946e-05	5.88051e-05	0.000612462	7.19201e-05	0.000267515	0.000294436	0.00103448	7.95476e-05	0.000248628	0.000562564	0.000813374	0.00016562	0.000183019	0.000304131	0.00314733	0.00112555	0.00027338	0.000184268	0.000202466	0.000258108	0.000780914	0.000337749	0.000188051	0.000631811	0.000154925	0.000173677	8.46945e-05	9.39768e-05	7.33614e-05	4.09268e-05	0.00063233	0.00011608	0.000528417	0.000247087	0.000375449	0.00034172	0.000288449	0.000138045	0.000424968	3.66798e-05	0.000252594	0.000102349	5.86263e-05	0.000109559	0.000274486	0.000166749	0.00135408	0.000330503	8.89815e-05	0.000106797	0.000748175	0.000220513	0.000282157	0.00014898	0.000761202	6.46073e-05	0.000253519	0.00029017	0.000243022	0.000165028	0.000508022	0.000271709	0.000441057	0.000581202	0.00107354	0.000145414	7.69565e-05	3.64508e-05	0.000255143	0.000240224	0.000296867	0.000162831	0.000705316	0.000334851	0.000479344	0.00276414	0.000445197	9.0183e-05	2.05933e-05	0.00021296	0.000178103	0.000224211	0.00010788	0.000183484	0.000608367	0.00020835	0.000188934	0.000382563	2.09154e-05	0.000894763	0.000404967	0.00112059	4.05347e-05	0.00119283	0.000131124	0.000176582	0.000104718	0.000172972	0.00095322	0.000495572	3.31603e-05	0.000360458	0.000643479	0.000392015	8.46316e-05	0.000491881	0.000269309	0.000329611	0.000101292	0.000156518	4.90869e-05	0.000176094	0.000102529	0.000244053	0.000110449	6.03025e-05	0.000354106	8.57013e-05	2.2495e-05	0.000284986	0.000153548	0.00010505	0.000330614	3.02287e-05	2.95816e-05	0.000100016	0.000163409	0.000189064	0.000260272	2.92873e-05	0.000359085	0.000563838	7.3227e-05	0.000445176	1.12486e-05	0.000611673	0.0	0.00111004	0.000333166	0.0	0.000162765	0.000207135	0.000127355	0.000828236	8.02882e-05	0.000252668	9.76893e-05	7.07855e-05	0.000240475	0.000259006	0.000527279	0.00089503	0.000251657	0.000262082	0.000590736	0.00012575	0.000473703	0.000223106	0.00017589	0.000783102	0.000117163	0.000297013	8.71842e-05	0.000248865	0.000355256	0.000502423	0.00126481	8.06925e-05	0.000692992	0.000178486	0.00279095	0.0001401	7.50997e-05	0.000144554
LIPASYN-PWY: phospholipases	0.0	0.0	0.0	0.000183889	0.0	0.0	0.000579226	0.00014825	0.00255422	0.000415573	0.0	0.000254564	1.26267e-05	0.0	0.0	0.000233818	0.0	0.0	0.00194148	0.0	0.000168945	0.000476676	0.0	0.0	0.0	0.0	0.0	0.0	0.000164779	0.00011481	0.0	0.0	0.0	0.000272598	0.0	0.0	0.0	0.0	0.0	0.000116568	0.0	0.0	0.0	0.0	0.000323287	0.000198461	0.0	0.0	0.0	0.000259461	0.000310509	1.23812e-05	0.0	0.0	0.000260874	4.59627e-05	0.0	0.0	0.0	0.0	0.00062901	0.0	0.000314286	0.000230653	0.0	0.00130091	0.000856737	0.00205434	0.000190707	7.08966e-05	7.82712e-05	0.00034395	0.000842387	0.000175911	0.00413383	3.40604e-05	7.10009e-05	0.000243669	0.00130499	7.47178e-05	0.0	0.00014866	0.0	0.000281072	0.0	0.000261364	0.000159901	0.00018328	0.00038767	3.66388e-05	8.63862e-05	0.0	0.00022287	0.00262812	0.00013231	0.000149559	0.000585317	0.00197807	2.14432e-05	0.0	0.0	0.0	0.000330729	3.66842e-05	0.000124939	0.0	0.0	0.000575746	0.0	0.00294123	0.000341848	0.0	0.000271532	0.000251801	0.000946608	0.000982429	0.000176942	0.000587493	0.0	0.00128993	0.00139077	0.0	0.00142828	0.000323721	0.00105539	0.0	0.0	0.0	0.0	1.85585e-05	0.000278939	0.0	6.64719e-05	0.0	0.00011238	0.0	0.0	0.0	0.0	0.0	0.00240522	0.0	0.0	0.0	0.0	0.0	0.000350552	0.0	0.0	1.13886e-05	9.19546e-05	0.0	0.000147496	0.00242977	5.40258e-05	0.00310031	0.0	0.0	0.0	0.0	0.000240159	1.82124e-05	0.000911238	0.0012002	0.0	7.9978e-06	0.000853346	0.000345321	0.000455582	0.000859103	0.0	0.000542411	0.0	0.00116651	0.0	0.00126139	0.0	0.0	0.00181915	0.0	2.72324e-05	0.000479341	1.57829e-05	0.00124059	0.00130494	0.0	0.0	0.000182501	0.00121427	0.0	0.00066759	0.000430237	0.0
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis	0.0	0.0	9.21427e-05	2.59001e-05	0.0	0.0	8.53801e-05	0.0	0.00138046	0.000198082	4.58634e-05	4.85634e-05	2.77116e-05	7.00423e-05	8.23313e-05	4.81307e-05	4.9821e-05	0.0	0.000495508	3.27674e-05	0.0	0.0	2.0777e-05	9.07124e-05	0.0	2.86771e-05	2.69132e-05	5.13666e-05	0.0	0.0	0.0	0.000112328	3.32169e-05	0.0	1.52728e-05	0.0	0.0	0.0	0.0	0.000137765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.44165e-05	0.0	0.000173981	2.45369e-05	0.0	0.0	0.0	0.0	0.000130234	5.48617e-05	9.43482e-05	0.000124131	0.000305721	0.00017556	0.0	0.000529474	2.50398e-05	7.28879e-05	0.0	8.74154e-05	0.0	9.0648e-05	0.00134196	0.0	0.0	0.0	0.00109221	0.0	0.0	5.85661e-05	8.33446e-05	0.0	0.0	0.0	1.73251e-05	0.000263061	0.000541075	0.0	0.0	0.0	2.72792e-05	0.000924195	7.69285e-05	0.0	0.000347919	0.0	0.0	9.77916e-05	0.0	0.0	0.000157684	0.0	4.33424e-05	0.0	0.0	0.000101289	2.23083e-05	0.0	1.81415e-05	3.37339e-05	0.000128239	3.30404e-05	0.000137907	0.0	0.000164582	0.0	0.0	0.000299113	0.000254861	7.86261e-05	0.000410286	9.16312e-05	0.000145605	0.0	0.000405364	0.0	2.49959e-05	3.22344e-05	0.000134184	0.0	1.30353e-05	1.42261e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.15273e-05	5.78317e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.70042e-05	0.000289994	0.0	0.000349052	0.0	0.0	7.1397e-05	0.0	9.26962e-05	0.0	0.00119519	1.42857e-05	0.0	0.0	0.0	0.0	9.70666e-05	0.000308049	0.000449005	4.52404e-05	2.73507e-05	0.0	8.94244e-05	1.79037e-05	0.000544687	7.29003e-05	0.000261907	0.000197257	0.0	0.0	0.0	0.000475172	0.000151241	0.0	0.0	0.0	0.000349898	2.1437e-05	0.000263775	0.000195424	0.0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0.000342219	0.000376565	0.000677655	0.000330597	9.49292e-05	0.0	0.000841997	0.00030604	0.00424298	0.000929681	0.000243168	0.000472116	0.00029565	0.00124444	0.00143554	0.000394581	0.0012602	5.71108e-05	0.00228184	0.000445871	0.000939705	0.00131189	7.84181e-05	0.000873354	0.00029684	0.00148371	0.000843921	0.000398875	0.000102934	0.000304205	0.000169603	0.000427762	0.000326896	0.000713427	0.000349689	5.22217e-05	0.00011096	0.000192586	0.0	0.000919995	7.08593e-05	0.0	0.000291199	0.000214577	0.000816543	0.000254659	0.000149688	0.000781816	4.63956e-05	0.000919295	0.000627484	0.00015482	0.000305878	0.0	0.0012029	0.0001126	4.28413e-05	3.8102e-05	2.62437e-05	9.85937e-05	0.001164	0.000467475	0.000635719	0.00114299	0.00149761	0.00172118	0.00147317	0.0018733999999999	0.000325795	0.000682075	0.000257217	0.000843693	0.00160118	0.000864815	0.00432596	0.0	0.000549188	0.000942754	0.00352237	0.0007226	3.27549e-05	0.000310624	0.000339751	0.000134305	0.000172497	0.000691081	0.000213908	0.00117442	0.00195738	0.000153983	0.000471823	0.000112305	0.00081955	0.00386712	0.0011064	0.000333892	0.00166081	0.00285415	6.39027e-05	0.000349777	2.44164e-05	1.83754e-05	0.000722535	0.000387544	0.000338856	0.0	0.000176101	0.00133413	0.000782199	0.00305934	0.000876683	0.000253384	0.000511207	0.000624302	0.00216491	0.00187985	0.000831535	0.00159975	8.19763e-05	0.00153706	0.00222107	0.000298901	0.00240843	0.000636965	0.0019323	0.000282508	0.00158453	0.000636693	0.000131363	0.00022569	0.000616266	2.86569e-05	0.000447338	0.000224998	0.000279297	0.000136508	0.000277052	0.000134081	0.0	0.0	0.0030593	0.000242121	0.000602153	0.000413039	0.000691404	0.0	0.000839728	0.0	0.000526978	0.000135552	0.00014454	4.49453e-05	0.000823519	0.00321634	0.000147873	0.00227542	0.0007055	6.92464e-05	0.000668997	2.54259e-05	0.000678349	0.0	0.00281493	0.00265952	3.96528e-05	5.41265e-05	0.00241259	0.0015190099999999	0.000821011	0.00191034	0.00172578	0.00119439	0.000505478	0.00225749	0.000424623	0.00342488	0.00373199	0.000547637	0.00428706	0.000895835	0.000192428	0.00100413	0.000151609	0.00224329	0.00369811	0.000366476	0.000176133	0.00116758	0.00295512	0.000694886	0.00112935	0.00122602	0.00195083
METH-ACETATE-PWY: methanogenesis from acetate	0.000190424	0.000133764	0.0	0.000331279	0.000366314	0.000375711	0.000309431	0.000302238	6.93175e-05	0.000130605	4.49699e-05	0.000446825	0.000285724	0.000293176	0.000375985	0.000412887	0.00118995	0.000631982	0.000188027	0.000204063	0.00018659	0.000741567	0.000847411	0.000267593	0.000572292	0.000529498	0.000260338	0.000377019	0.000315278	0.000440394	0.000236369	0.000292468	0.000405309	0.00474394	0.001319	0.000560546	0.000410248	0.000804246	0.000552834	0.000737254	0.000756802	0.000702794	0.00038453	0.000742258	0.000548796	0.000436041	0.000242352	0.000294365	0.000395157	0.000187734	0.000223734	0.000249572	0.000202355	0.000199315	0.000389164	0.000334362	0.000186735	0.00033715	0.000189038	0.000230634	0.000386047	8.94374e-05	0.000193585	0.000248206	0.000189755	0.000335387	0.00051195	0.00055539	0.000435933	0.0009584	0.000299498	0.000230144	0.000219173	0.00117484	1.91539e-05	0.000504236	0.00141784	0.000142259	2.99717e-05	0.000594882	0.000527316	0.000392863	0.000672867	0.000120018	0.000242215	0.000848756	9.95577e-05	0.000459739	0.000333067	0.000136129	0.000178651	0.00074018	0.000706499	0.000299238	0.00325324	0.000324188	0.00020999	0.000500849	0.000393698	0.000218021	0.000263053	0.000284407	0.000433126	0.000996993	0.000202687	0.000217647	0.000359039	0.000155367	0.000250572	0.000197808	0.000215849	0.000144465	0.000279433	0.000361946	7.81399e-05	0.000308124	0.000991851	0.000370008	0.00037468	0.000587824	7.91668e-05	0.000546046	0.000153003	0.000262897	0.000209514	0.000165724	0.000127588	0.000131847	0.0	0.000335265	0.00021558	0.00034338	0.000416327	0.000463958	7.37373e-05	9.56991e-05	9.54619e-05	0.0	0.000534953	0.000531573	0.000182205	0.000214876	0.000106321	0.000447881	0.000439941	0.000141468	0.00013698	4.40352e-05	0.0	0.000400205	0.000581732	0.000471413	0.000986396	0.0	0.000277478	0.0	0.000227895	0.000466162	0.000374409	0.000193514	7.80459e-05	0.00039346	5.33914e-05	0.0	0.000418202	0.000281094	0.00014795	0.0	5.91613e-05	4.72976e-05	0.000181678	0.000138774	0.000663288	0.000448271	0.000198104	0.000390213	0.0	0.000282985	0.0	0.00032188	0.000795537	0.000211066	0.00048022	0.0	0.0	0.000343081	0.00018337	0.000207451	1.69554e-05	0.00070765	0.000434732	0.000232225	0.00028508
METHANOGENESIS-PWY: methanogenesis from H2 and CO2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.74007e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.12477e-05	5.04251e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.60545e-05	2.18663e-05	0.0	0.0	0.0	0.0	0.0	0.0	9.2333e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000171148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.30183e-05	4.74902e-05
